CountryQ,DailyTraveltoCountry,AvgStayCountry
Austria,2000.10770326005,6.39015436677004
Belgium,5752.69353149414,3.46543655782597
Bulgaria,1967.68765267726,12.2967434131478
Denmark,1420.9783944277,6.072139718045
Finland,607.523086036301,5.57052052312281
France,28347.1454817564,7.13431125939168
Germany,9246.56086180625,5.65128215812904
Greece,9419.72606825866,8.97210073168215
Hungary,2517.01365327061,7.26229222461565
Italy,13986.5577023432,7.18365703271803
Lithuania,1395.82805714469,10.310948239989
Malta,2312.61098375393,6.73945177226587
Portugal,9072.10910811329,8.44055752081633
Romania,3541.1743477009,14.6031545634931
Slovakia,640.638430596633,10.623844483404
Sweden,1409.73032132719,7.30155898474969
Switzerland,3694.99426596289,5.60187037745331
Turkey,6277.83286587053,10.9752372871073
